Page,Section,Type,Content
News,Articles,URL,https://themusic.com.au/industry/gyro-group-senior-leaderships-promotions-henry-compton-adrian-burke-alison-bremner/cr3IZGdmaWg/13-05-26
News,Articles,Title,GYRO Group Recruits Henry Compton
News,Articles,Date,2026-05-13
News,Articles,Source,Billboard
News,Articles,Summary,Australia's leading indie distributor strengthens leadership team with key hire.
News,Articles,URL,https://www.billboard.com/pro/gyro-group-recruits-henry-compton/
News,Articles,Title,GYRO Expands Offerings with GYROPublishing Admin Service
News,Articles,Date,2023-09-01
News,Articles,Source,The Music
News,Articles,Summary,New publishing administration service extends GYRO's capabilities for Australian independent artists.
News,Articles,URL,https://themusic.com.au/industry/gyrostream-expands-offerings-with-gyropublishing-admin-service/QHn-UlVUV1Y/01-09-23
News,Articles,Title,Apple Music Preferred Distributors
News,Articles,Date,2020-02-11
News,Articles,Source,Digital Music News
News,Articles,Summary,Too Lost recognized among Apple Music's preferred distribution partners.
News,Articles,URL,https://www.digitalmusicnews.com/2020/02/11/apple-music-preferred-distributors/
News,Articles,Title,Blak Label Music: Inside the First Culturally Aware Distribution Agreement
News,Articles,Date,2023-11-21
News,Articles,Source,The Music
News,Articles,Summary,Pioneering agreement with GYRO sets new standard for culturally sensitive artist representation.
News,Articles,URL,https://themusic.com.au/industry/blak-label-music-inside-the-label-drafting-the-first-ever-culturally-aware-distribution-agreement/-5BB7-4REBM/21-11-23
News,Articles,Title,ARIA Awards 2024: All the Winners
News,Articles,Date,2024-11-20
News,Articles,Source,Rolling Stone AU
News,Articles,Summary,GYRO Group artists recognized at Australia's premier music awards ceremony.
News,Articles,URL,https://au.rollingstone.com/music/music-news/aria-awards-2024-all-the-winners-69082/
News,Articles,Title,GYRO on Spotify's Direct Artist Upload Strategy
News,Articles,Date,2024-06-15
News,Articles,Source,The Music Network
News,Articles,Summary,"Independent artists need extra support services beyond basic upload capabilities, GYRO argues."
News,Articles,URL,https://themusicnetwork.com/news/exclusive-aussie-distributor-gyrostream-on-spotifys-direct-artist-upload-strategy-independent-artists-need-extra-support-services
Leadership,Hero,Tag,/ leadership
Leadership,Hero,Heading,Executive Team
Leadership,Hero,Description,The people behind Too Lost Music Group.
Leadership,Team,Tag,/ team
Leadership,Team,Heading,Leadership
Leadership,Team,Name,Bjarki Lárusson
Leadership,Team,Role,office of the ceo
Leadership,Team,Description,Founder & CEO
Divisions,Hero,Tag,/ divisions
Divisions,Hero,Heading,Our Divisions
Divisions,Hero,Description,A group of divisions working together to build the future of music and media.
Divisions,Companies,Tag,/ companies
Divisions,Companies,Heading,The Group
Division: Too Lost,Info,Name,Too Lost
Division: Too Lost,Info,Type,Distribution
Division: Too Lost,Info,Description,"A leading independent music distribution company, powering hundreds of thousands of artists and millions of recordings globally."
Division: Too Lost,Info,Tagline,Be heard. Everywhere.
Division: Too Lost,Info,Long Description,"Too Lost is a global music and technology company offering a comprehensive digital suite of services and solutions for independent rights holders. We support musicians, labels, studios, brands, funds, and platforms with the infrastructure to distribute, monetize, manage, and protect music at scale worldwide. Founded in 2019, Too Lost delivers music to 480+ digital platforms and serves over 450,000 artists and labels."
Division: Too Lost,Info,Website,https://toolost.com
Division: Too Lost,Info,Clients Label,Clients & catalog include
Division: Too Lost,Info,Clients,"Victor Victor Worldwide, Rebellion Records, Heatwave Records, ThaLightsGlobal, Standard Records, Goldstate Music, Studio71, New11 Records, Thrice Cooked, Awful Records, OnTheRadar, Tone Tree Music, Wreckshop Records, Alex Warren, Current Joys, Saint Motel, Lil Tjay, Flo Milli, Lil Mabu, 070 Shake, HUGEL, Kanye West, YG, Freddie Gibbs, Chief Keef, All-American Rejects, Alan Walker, Foundations Management, Flood Division, Jutes, Aaron May, A$AP Ferg, Molly Santana, Hardrock, Prettifun, Saint Levant, Azealia Banks, ILOVEMAKONNEN, SSGKOBE, AYYBO, Anees, Mad Tsai, and more"
Division: Too Lost,Metrics,Value,450K+
Division: Too Lost,Metrics,Label,artists & labels
Division: Too Lost,Metrics,Value,480+
Division: Too Lost,Metrics,Label,stores & platforms
Division: Too Lost,Metrics,Value,100%
Division: Too Lost,Metrics,Label,royalty share
Division: Too Lost,Metrics,Value,200+
Division: Too Lost,Metrics,Label,global territories
Division: Too Lost,Features,Title,Distribution
Division: Too Lost,Features,Description,"Same-day delivery to 480+ stores and services worldwide — more than any other distributor. Unlimited releases, no caps."
Division: Too Lost,Features,Title,Analytics & Trends
Division: Too Lost,Features,Description,"Daily analytics, audience insights, revenue trends, and performance metrics from Spotify, Apple Music, TikTok, Instagram, and more."
Division: Too Lost,Features,Title,Royalty Splits & Payouts
Division: Too Lost,Features,Description,"Seamless split configuration and automated payments to collaborators via PayPal, Venmo, Stripe, ACH, and Tipalti."
Division: Too Lost,Features,Title,Artist Financing
Division: Too Lost,Features,Description,Instant royalty advances — get early access to up to 10 years of future earnings from your catalog and upcoming releases.
Division: Too Lost,Features,Title,Publishing Administration
Division: Too Lost,Features,Description,"In partnership with BMG, collect unclaimed royalties from 50+ global performance and mechanical societies."
Division: Too Lost,Features,Title,YouTube Content ID
Division: Too Lost,Features,Description,Register your music with Content ID to automatically collect revenue anytime your music is used in a YouTube video.
Division: Too Lost,Features,Title,White Label & Enterprise
Division: Too Lost,Features,Description,"Bespoke white-label services for large record labels, distributors, management companies, catalog funds, and other rights holders."
Division: Too Lost,Features,Title,Marketing Suite
Division: Too Lost,Features,Description,"Fan targeting, smart links, audience insights, auto-generated release links, and automated marketing tools."
Division: Too Lost,Features,Title,Catalog Management
Division: Too Lost,Features,Description,"Bulk CSV import, catalog migration from other distributors, advanced uploader with more settings than any competitor."
Division: TLX,Info,Name,TLX
Division: TLX,Info,Type,Copyright Acquisition
Division: TLX,Info,Description,"Sound recording copyright acquisition firm, investing millions into acquiring intellectual property rights from culturally exciting artists and labels."
Division: TLX,Info,Clients Label,Catalog:
Division: TLX,Info,Clients,"Pink Sweat$, Eric Reprid, DigBar, Luci4, Ayesha Erotica, Miniature Tigers, Xposure Music, Kalan.FrFr, Fukkit, FLVME, Tskinz, C3six, Fly Rich Double, 100BandXan, Rot Ken, Loick Essien, Saviii 3rd, SadBoyProlific"
Division: Too Lost Ventures,Info,Name,Too Lost Ventures
Division: Too Lost Ventures,Info,Type,Venture Capital
Division: Too Lost Ventures,Info,Description,"An investment vehicle, deploying capital strategically in media and technology companies shaping the future of the industry."
Division: Too Lost Ventures,Info,Clients Label,Investments:
Division: Too Lost Ventures,Info,Clients,"AntiFragile Music, Beehiiv, Backwards Capital, Indify, Mayk.it, Beatbread"
Division: Too Lost Publishing,Info,Name,Too Lost Publishing
Division: Too Lost Publishing,Info,Type,Publishing
Division: Too Lost Publishing,Info,Description,"Publishing administration and sync house in partnership with BMG. Representing thousands of compositions across the world on behalf of artists, publishers, songwriters and studios."
Division: Too Lost Catalog,Info,Name,Too Lost Catalog
Division: Too Lost Catalog,Info,Type,Catalog Investment
Division: Too Lost Catalog,Info,Description,"An catalog acquisition company in partnership with Pinnacle Financial Partners, an American commercial bank with over $100B in assets under management."
Division: G.Y.R.O,Info,Name,G.Y.R.O
Division: G.Y.R.O,Info,Type,Distribution · ANZ
Division: G.Y.R.O,Info,Description,The largest independent artist distribution company in Australia & New Zealand
Division: G.Y.R.O,Info,Website,https://gyromusic.com
Division: G.Y.R.O,Info,Clients Label,Clients:
Division: G.Y.R.O,Info,Clients,"Lithe, Polish Club, Emma Memma, Odette, JK-47, Tom Cardy, Miss Kaninna"
Division: Group Speed,Info,Name,Group Speed
Division: Group Speed,Info,Type,Marketing & Artist Services
Division: Group Speed,Info,Description,Marketing and artist services organization powering campaigns for artists at every level
Division: Group Speed,Info,Clients Label,Clients:
Division: Group Speed,Info,Clients,"Mariah Carey, WILLOW, Swedish House Mafia, SonReal and more"
Division: DistroDirect,Info,Name,DistroDirect
Division: DistroDirect,Info,Type,Enterprise Distribution
Division: DistroDirect,Info,Description,White label and enterprise distribution solution powering over 500 distribution companies across 40 regional markets worldwide
Division: Soothe Sounds,Info,Name,Soothe Sounds
Division: Soothe Sounds,Info,Type,Artist Services & Distribution
Division: Soothe Sounds,Info,Description,A highly selective artist services & distribution company signing composers with a focus on original neo-classical and contemporary instrumentals.
Division: Soothe Sounds,Info,Website,https://soothesounds.com
Division: Sweat It Out,Info,Name,Sweat It Out
Division: Sweat It Out,Info,Type,Label · Electronic
Division: Sweat It Out,Info,Description,Culturally significant electronic label in Australia for more than 20 years
Division: Sweat It Out,Info,Website,https://sweatitout.com
Division: Sweat It Out,Info,Clients Label,Clients:
Division: Sweat It Out,Info,Clients,"Diplo, Rufus Du Sol, Dom Dolla, Yolanda Be Cool and more"
Division: Xelon Entertainment,Info,Name,Xelon Entertainment
Division: Xelon Entertainment,Info,Type,Label Distribution
Division: Xelon Entertainment,Info,Description,"A curated label distribution company, with a primary focus on servicing electronic record labels"
Division: Xelon Entertainment,Info,Website,https://xelonentertainment.com
Division: Xelon Entertainment,Info,Clients Label,Labels:
Division: Xelon Entertainment,Info,Clients,"Central Station Records, Resound Records, Urbana Records, Balance Records, BigPop Records, Offbeat Collective, Impressed Records"
Division: Usage,Info,Name,Usage
Division: Usage,Info,Type,Digital Asset Management
Division: Usage,Info,Description,"A digital asset management firm administrating and monetizing copyrights across media platforms like YouTube, TikTok and Facebook/Instagram on behalf of leading independent artists and labels."
Footer,Global,Copyright,© 2026 Too Lost Music Group. All rights reserved.
Footer,Global,Links,"about, governance, leadership, offices, press, careers"
Footer,Contact,Email,info@tlmg.co
Footer,Contact,Email,press@tlmg.co
Footer,Contact,Link,https://toolost.com/careers
